fold,phase,condition,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
4,latency,CR,full,StandardScaler,LGBM,51,12,10,-0.0941,5.4555,6.5342,-0.1119,-0.832,-0.2509
4,latency,CR,full,StandardScaler,CatBoost,51,12,10,0.0091,4.4846,6.0965,0.0107,-0.5948,-0.0529
4,latency,CR,full,MinMaxScaler,Ridge,51,12,5,-0.2156,4.6253,6.5096,-0.2313,-0.8183,-0.2116
4,latency,CR,full,MinMaxScaler,Lasso,51,12,5,-0.2612,4.7836,6.6664,-0.281,-0.9069,-0.254
4,latency,CR,full,MinMaxScaler,ElasticNet,51,12,5,-0.2197,4.7598,6.7857,-0.2278,-0.9757,-0.1482
4,latency,CR,full,MinMaxScaler,SVR,51,12,5,-0.0941,4.8006,6.6344,-0.11,-0.8886,0.0071
4,latency,CR,full,MinMaxScaler,KNN,51,12,5,-0.1926,5.4167,6.9101,-0.2176,-1.0489,-0.2
4,latency,CR,full,MinMaxScaler,RF,51,12,5,-0.0702,4.3067,5.6804,-0.0893,-0.3845,0.0423
4,latency,CR,full,MinMaxScaler,ET,51,12,5,-0.1002,4.5669,5.6516,-0.1486,-0.3705,-0.0882
4,latency,CR,full,MinMaxScaler,GB,51,12,5,-0.0963,4.6572,6.64,-0.1008,-0.8918,-0.0106
4,latency,CR,full,MinMaxScaler,XGB,51,12,5,0.044,4.3656,6.1251,0.0461,-0.6098,0.0917
4,latency,CR,full,MinMaxScaler,MLP,51,12,5,-0.4221,5.4211,7.4025,-0.4434,-1.3512,-0.2822
4,latency,CR,full,MinMaxScaler,LGBM,51,12,5,-0.045,5.2173,6.3339,-0.0529,-0.7214,-0.2368
4,latency,CR,full,MinMaxScaler,CatBoost,51,12,5,0.0555,4.3433,5.7707,0.0627,-0.4289,0.0564
4,latency,CR,full,RobustScaler,Ridge,51,12,15,-0.1828,4.5423,6.6457,-0.1894,-0.895,-0.1482
4,latency,CR,full,RobustScaler,Lasso,51,12,15,-0.033,4.1515,5.3276,-0.0537,-0.2179,-0.0106
4,latency,CR,full,RobustScaler,ElasticNet,51,12,15,-0.2082,4.4637,6.2066,-0.2368,-0.6529,-0.1446
4,latency,CR,full,RobustScaler,SVR,51,12,15,-0.0589,4.7095,6.1835,-0.0717,-0.6406,-0.0529
4,latency,CR,full,RobustScaler,KNN,51,12,15,0.0482,4.35,5.768,0.0518,-0.4276,0.1199
4,latency,CR,full,RobustScaler,RF,51,12,15,-0.0372,4.2404,5.7088,-0.0443,-0.3984,-0.0282
4,latency,CR,full,RobustScaler,ET,51,12,15,-0.0216,4.3883,5.7739,-0.0276,-0.4305,-0.067
4,latency,CR,full,RobustScaler,GB,51,12,15,0.0494,4.4011,5.7346,0.0532,-0.411,-0.0494
4,latency,CR,full,RobustScaler,XGB,51,12,15,-0.0373,4.5346,5.9346,-0.0405,-0.5112,-0.0705
4,latency,CR,full,RobustScaler,MLP,51,12,15,-0.4372,6.4252,9.0067,-0.4461,-2.4807,-0.187
4,latency,CR,full,RobustScaler,LGBM,51,12,15,-0.0333,5.0036,6.3037,-0.0387,-0.705,-0.2474
4,latency,CR,full,RobustScaler,CatBoost,51,12,15,0.0272,4.2787,5.3291,0.037,-0.2186,0.0388
5,latency,CR,full,StandardScaler,Ridge,51,12,5,0.4837,4.9334,5.5574,0.5735,0.1781,0.5579
5,latency,CR,full,StandardScaler,Lasso,51,12,5,0.4974,5.0165,5.8357,0.564,0.0937,0.5825
5,latency,CR,full,StandardScaler,ElasticNet,51,12,5,0.4923,4.9361,5.6833,0.5685,0.1404,0.5579
5,latency,CR,full,StandardScaler,SVR,51,12,5,0.2045,6.1526,6.8321,0.2202,-0.2422,0.1544
5,latency,CR,full,StandardScaler,KNN,51,12,5,0.2538,5.037,5.7551,0.4096,0.1186,0.4183
5,latency,CR,full,StandardScaler,RF,51,12,5,0.226,5.31,5.8856,0.3494,0.0781,0.3754
5,latency,CR,full,StandardScaler,ET,51,12,5,0.2092,5.6297,6.2087,0.3118,-0.0258,0.3263
5,latency,CR,full,StandardScaler,GB,51,12,5,0.1589,6.1756,6.6971,0.2007,-0.1936,0.3509
5,latency,CR,full,StandardScaler,XGB,51,12,5,0.1071,6.2081,7.0656,0.1183,-0.3286,0.1263
5,latency,CR,full,StandardScaler,MLP,51,12,5,0.4469,5.7461,6.4815,0.4758,-0.118,0.5298
5,latency,CR,full,StandardScaler,LGBM,51,12,5,0.3315,4.9935,5.5968,0.4804,0.1664,0.406
5,latency,CR,full,StandardScaler,CatBoost,51,12,5,0.262,5.5737,6.1331,0.3383,-0.001,0.4386
5,latency,CR,full,MinMaxScaler,Ridge,51,12,10,0.524,4.8155,5.2335,0.6573,0.2711,0.7368
5,latency,CR,full,MinMaxScaler,Lasso,51,12,10,0.5367,4.7684,5.2278,0.6643,0.2727,0.7404
5,latency,CR,full,MinMaxScaler,ElasticNet,51,12,10,0.5077,4.8262,5.2015,0.6609,0.28,0.6982
5,latency,CR,full,MinMaxScaler,SVR,51,12,10,0.5325,4.2948,4.8482,0.6494,0.3745,0.7509
5,latency,CR,full,MinMaxScaler,KNN,51,12,10,0.4674,4.3929,5.1042,0.6861,0.3067,0.6526
5,latency,CR,full,MinMaxScaler,RF,51,12,10,0.174,5.5067,5.9859,0.3047,0.0464,0.3298
5,latency,CR,full,MinMaxScaler,ET,51,12,10,0.1986,5.3133,5.9847,0.3801,0.0468,0.4351
5,latency,CR,full,MinMaxScaler,GB,51,12,10,0.149,6.0637,6.4732,0.2025,-0.1151,0.2947
5,latency,CR,full,MinMaxScaler,XGB,51,12,10,0.1876,5.7188,6.4484,0.2343,-0.1066,0.3263
5,latency,CR,full,MinMaxScaler,MLP,51,12,10,0.5386,4.6518,5.1272,0.6696,0.3004,0.6982
5,latency,CR,full,MinMaxScaler,LGBM,51,12,10,0.3141,5.0477,5.5923,0.5422,0.1677,0.5018
5,latency,CR,full,MinMaxScaler,CatBoost,51,12,10,0.1304,5.9127,6.3837,0.1946,-0.0845,0.2667
5,latency,CR,full,RobustScaler,Ridge,51,12,5,0.3537,4.9688,5.6973,0.4494,0.1362,0.5333
5,latency,CR,full,RobustScaler,Lasso,51,12,5,0.3551,4.9796,5.7227,0.4452,0.1285,0.5333
5,latency,CR,full,RobustScaler,ElasticNet,51,12,5,0.3425,4.9549,5.6317,0.4609,0.1559,0.5333
5,latency,CR,full,RobustScaler,SVR,51,12,5,0.2817,5.0916,5.9905,0.3262,0.045,0.3368
5,latency,CR,full,RobustScaler,KNN,51,12,5,0.2433,5.2024,5.6965,0.3954,0.1364,0.4007
5,latency,CR,full,RobustScaler,RF,51,12,5,0.2015,5.2651,5.726,0.415,0.1274,0.4737
5,latency,CR,full,RobustScaler,ET,51,12,5,0.1037,5.5958,6.1982,0.1958,-0.0224,0.2947
5,latency,CR,full,RobustScaler,GB,51,12,5,0.0539,5.9637,6.6176,0.0763,-0.1654,0.0596
5,latency,CR,full,RobustScaler,XGB,51,12,5,0.2939,5.3797,5.9731,0.3619,0.0505,0.4175
5,latency,CR,full,RobustScaler,MLP,51,12,5,0.1952,5.443,6.3482,0.2262,-0.0725,0.3123
5,latency,CR,full,RobustScaler,LGBM,51,12,5,0.3524,4.7098,5.3584,0.6,0.2359,0.4281
5,latency,CR,full,RobustScaler,CatBoost,51,12,5,0.1252,5.5449,6.1766,0.2106,-0.0153,0.2491
