fold,phase,condition,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
3,latency,ADK,full,MinMaxScaler,XGB,50,13,10,0.0845,6.0448,6.6976,0.1124,-0.107,0.2099
3,latency,ADK,full,MinMaxScaler,MLP,50,13,10,0.1473,7.2356,7.9817,0.1482,-0.5722,0.105
3,latency,ADK,full,MinMaxScaler,LGBM,50,13,10,0.0802,5.9041,6.4272,0.1446,-0.0194,0.1381
3,latency,ADK,full,MinMaxScaler,CatBoost,50,13,10,0.0837,5.9023,6.4576,0.1341,-0.0291,0.1989
3,latency,ADK,full,RobustScaler,Ridge,50,13,5,0.178,6.4007,7.7916,0.1789,-0.4982,0.3867
3,latency,ADK,full,RobustScaler,Lasso,50,13,5,0.1775,6.401,7.7976,0.1784,-0.5005,0.3867
3,latency,ADK,full,RobustScaler,ElasticNet,50,13,5,0.175,6.4256,7.7198,0.1764,-0.4707,0.3812
3,latency,ADK,full,RobustScaler,SVR,50,13,5,0.2133,5.4484,6.2827,0.2706,0.0259,0.2486
3,latency,ADK,full,RobustScaler,KNN,50,13,5,0.1016,6.1099,6.7165,0.13,-0.1133,0.1245
3,latency,ADK,full,RobustScaler,RF,50,13,5,0.2275,5.44,5.828,0.4364,0.1618,0.442
3,latency,ADK,full,RobustScaler,ET,50,13,5,0.215,5.5103,6.0512,0.3232,0.0963,0.3591
3,latency,ADK,full,RobustScaler,GB,50,13,5,0.1563,5.5402,6.1549,0.2634,0.0651,0.2762
3,latency,ADK,full,RobustScaler,XGB,50,13,5,0.1739,5.5743,6.1212,0.2822,0.0753,0.2873
3,latency,ADK,full,RobustScaler,MLP,50,13,5,0.0085,6.6811,8.2225,0.0088,-0.6685,0.1657
3,latency,ADK,full,RobustScaler,LGBM,50,13,5,0.1074,5.724,6.3047,0.2085,0.019,0.267
3,latency,ADK,full,RobustScaler,CatBoost,50,13,5,0.2562,5.3761,5.9066,0.3911,0.139,0.3094
4,latency,ADK,full,StandardScaler,Ridge,51,12,15,-0.0773,4.8612,5.6241,-0.1216,-0.2624,0.0
4,latency,ADK,full,StandardScaler,Lasso,51,12,15,0.0104,4.633,5.2475,0.0235,-0.099,0.0947
4,latency,ADK,full,StandardScaler,ElasticNet,51,12,15,-0.0061,4.6806,5.3233,-0.0122,-0.131,0.0596
4,latency,ADK,full,StandardScaler,SVR,51,12,15,0.0806,4.9926,5.7737,0.0998,-0.3305,0.0035
4,latency,ADK,full,StandardScaler,KNN,51,12,15,-0.1354,6.35,7.3573,-0.1405,-1.1604,0.03
4,latency,ADK,full,StandardScaler,RF,51,12,15,0.0249,5.3089,5.63,0.03,-0.2651,0.1368
4,latency,ADK,full,StandardScaler,ET,51,12,15,-0.2025,6.5325,7.1074,-0.2082,-1.0161,-0.1544
4,latency,ADK,full,StandardScaler,GB,51,12,15,0.1417,5.5484,6.8144,0.1571,-0.8533,0.186
4,latency,ADK,full,StandardScaler,XGB,51,12,15,0.2368,5.2016,6.6228,0.2538,-0.7506,0.1649
4,latency,ADK,full,StandardScaler,MLP,51,12,15,-0.0747,5.6875,6.2167,-0.0814,-0.5425,-0.014
4,latency,ADK,full,StandardScaler,LGBM,51,12,15,0.0457,4.9015,5.7539,0.056,-0.3214,0.1235
4,latency,ADK,full,StandardScaler,CatBoost,51,12,15,0.178,4.8027,5.5551,0.1984,-0.2316,0.2386
4,latency,ADK,full,MinMaxScaler,Ridge,51,12,20,-0.1087,4.9115,5.6591,-0.1773,-0.2782,-0.1123
4,latency,ADK,full,MinMaxScaler,Lasso,51,12,20,-0.0,4.5686,5.1204,,-0.0464,
4,latency,ADK,full,MinMaxScaler,ElasticNet,51,12,20,-0.0555,4.7206,5.2891,-0.2038,-0.1165,-0.2912
4,latency,ADK,full,MinMaxScaler,SVR,51,12,20,-0.019,5.2561,6.0321,-0.0248,-0.4522,-0.0211
4,latency,ADK,full,MinMaxScaler,KNN,51,12,20,-0.0435,5.85,6.5684,-0.0455,-0.7219,-0.0439
4,latency,ADK,full,MinMaxScaler,RF,51,12,20,0.0032,5.715,6.1867,0.0035,-0.5276,0.0281
4,latency,ADK,full,MinMaxScaler,ET,51,12,20,-0.1356,6.2404,6.775,-0.1414,-0.832,-0.1298
4,latency,ADK,full,MinMaxScaler,GB,51,12,20,0.2571,4.8265,6.0228,0.2736,-0.4477,0.2456
4,latency,ADK,full,MinMaxScaler,XGB,51,12,20,0.2092,5.3016,6.8265,0.2257,-0.8599,0.1649
4,latency,ADK,full,MinMaxScaler,MLP,51,12,20,-0.0978,5.4215,5.9984,-0.1158,-0.436,-0.0667
4,latency,ADK,full,MinMaxScaler,LGBM,51,12,20,0.0761,4.7971,5.6926,0.0987,-0.2934,0.1235
4,latency,ADK,full,MinMaxScaler,CatBoost,51,12,20,0.1403,5.1124,5.933,0.1552,-0.4049,0.193
4,latency,ADK,full,RobustScaler,Ridge,51,12,15,-0.0943,4.9115,5.7249,-0.1387,-0.3081,0.0
4,latency,ADK,full,RobustScaler,Lasso,51,12,15,-0.0,4.5686,5.1204,,-0.0464,
4,latency,ADK,full,RobustScaler,ElasticNet,51,12,15,-0.0372,4.7737,5.5159,-0.0605,-0.2143,0.0421
4,latency,ADK,full,RobustScaler,SVR,51,12,15,0.0054,5.4955,6.1216,0.0062,-0.4956,0.0316
4,latency,ADK,full,RobustScaler,KNN,51,12,15,-0.0435,5.85,6.5684,-0.0455,-0.7219,-0.0439
4,latency,ADK,full,RobustScaler,RF,51,12,15,0.0282,5.6754,6.2031,0.0307,-0.5357,0.0877
4,latency,ADK,full,RobustScaler,ET,51,12,15,-0.1676,6.3425,6.8696,-0.1734,-0.8834,-0.1649
4,latency,ADK,full,RobustScaler,GB,51,12,15,0.1415,5.5706,6.9708,0.1597,-0.9394,0.186
4,latency,ADK,full,RobustScaler,XGB,51,12,15,0.2367,5.2013,6.6225,0.2536,-0.7504,0.1649
4,latency,ADK,full,RobustScaler,MLP,51,12,15,-0.0648,5.1221,5.9193,-0.082,-0.3984,-0.1544
4,latency,ADK,full,RobustScaler,LGBM,51,12,15,0.0771,4.9026,5.723,0.0955,-0.3072,0.1737
4,latency,ADK,full,RobustScaler,CatBoost,51,12,15,0.1425,4.9291,5.6648,0.1585,-0.2808,0.2491
5,latency,ADK,full,StandardScaler,Ridge,51,12,10,0.3557,5.5922,6.7575,0.547,0.1709,0.4534
5,latency,ADK,full,StandardScaler,Lasso,51,12,10,0.2194,5.8692,6.8173,0.562,0.1562,0.5483
5,latency,ADK,full,StandardScaler,ElasticNet,51,12,10,0.3795,5.5654,6.7986,0.5481,0.1608,0.4534
5,latency,ADK,full,StandardScaler,SVR,51,12,10,-0.0832,7.0854,8.4992,-0.1489,-0.3116,-0.3515
5,latency,ADK,full,StandardScaler,KNN,51,12,10,0.2037,6.1111,7.3951,0.4112,0.0071,0.371
5,latency,ADK,full,StandardScaler,RF,51,12,10,-0.1529,7.5557,8.6775,-0.2445,-0.3672,-0.3831
5,latency,ADK,full,StandardScaler,ET,51,12,10,-0.0611,7.29,8.565,-0.0952,-0.332,-0.2496
5,latency,ADK,full,StandardScaler,GB,51,12,10,-0.1278,7.7761,9.2557,-0.16,-0.5555,-0.3937
5,latency,ADK,full,StandardScaler,XGB,51,12,10,-0.2102,8.3699,9.5962,-0.2501,-0.672,-0.4323
5,latency,ADK,full,StandardScaler,MLP,51,12,10,0.0201,8.5741,10.9131,0.0237,-1.1624,-0.1476
5,latency,ADK,full,StandardScaler,LGBM,51,12,10,-0.1589,7.2972,8.6671,-0.255,-0.3639,-0.2271
5,latency,ADK,full,StandardScaler,CatBoost,51,12,10,-0.2037,7.8972,9.0361,-0.3021,-0.4825,-0.4183
5,latency,ADK,full,MinMaxScaler,Ridge,51,12,10,0.2585,5.8274,6.9409,0.5037,0.1253,0.3023
5,latency,ADK,full,MinMaxScaler,Lasso,51,12,10,0.2229,5.9649,7.0012,0.4822,0.11,0.2953
5,latency,ADK,full,MinMaxScaler,ElasticNet,51,12,10,0.3001,5.7029,6.9201,0.5159,0.1305,0.4113
5,latency,ADK,full,MinMaxScaler,SVR,51,12,10,0.0567,6.7865,8.1454,0.1018,-0.2047,0.007
5,latency,ADK,full,MinMaxScaler,KNN,51,12,10,0.1369,6.7167,8.1329,0.2896,-0.2009,0.2835
5,latency,ADK,full,MinMaxScaler,RF,51,12,10,0.0564,6.6783,8.0215,0.0891,-0.1683,0.007
5,latency,ADK,full,MinMaxScaler,ET,51,12,10,0.0204,6.8108,8.2155,0.0344,-0.2255,-0.123
5,latency,ADK,full,MinMaxScaler,GB,51,12,10,0.2427,5.9939,7.883,0.2961,-0.1283,0.2777
5,latency,ADK,full,MinMaxScaler,XGB,51,12,10,-0.0174,7.5907,9.1313,-0.0203,-0.5139,-0.0562
5,latency,ADK,full,MinMaxScaler,MLP,51,12,10,0.2859,5.8873,7.251,0.4939,0.0454,0.4077
5,latency,ADK,full,MinMaxScaler,LGBM,51,12,10,-0.0669,7.2661,8.3336,-0.1053,-0.261,-0.2465
5,latency,ADK,full,MinMaxScaler,CatBoost,51,12,10,0.0026,7.1719,8.5819,0.0035,-0.3372,-0.123
5,latency,ADK,full,RobustScaler,Ridge,51,12,5,0.1419,6.2446,7.427,0.3208,-0.0015,0.2355
5,latency,ADK,full,RobustScaler,Lasso,51,12,5,0.139,6.2569,7.4244,0.3185,-0.0008,0.2355
5,latency,ADK,full,RobustScaler,ElasticNet,51,12,5,0.1361,6.2694,7.4242,0.315,-0.0008,0.3304
5,latency,ADK,full,RobustScaler,SVR,51,12,5,0.0104,7.0505,8.0757,0.0291,-0.1841,-0.007
5,latency,ADK,full,RobustScaler,KNN,51,12,5,0.1088,6.8214,7.7638,0.1866,-0.0944,0.2667
5,latency,ADK,full,RobustScaler,RF,51,12,5,0.0318,6.6401,7.819,0.0601,-0.11,-0.007
5,latency,ADK,full,RobustScaler,ET,51,12,5,-0.0527,7.2167,8.7305,-0.074,-0.3839,-0.1406
5,latency,ADK,full,RobustScaler,GB,51,12,5,0.03,7.0904,8.4632,0.0546,-0.3005,0.0496
5,latency,ADK,full,RobustScaler,XGB,51,12,5,0.042,6.9553,8.2689,0.0837,-0.2415,0.055
5,latency,ADK,full,RobustScaler,MLP,51,12,5,-0.0158,7.5302,9.4067,-0.0238,-0.6066,0.1547
5,latency,ADK,full,RobustScaler,LGBM,51,12,5,0.0304,6.7482,7.7255,0.0635,-0.0836,0.0764
5,latency,ADK,full,RobustScaler,CatBoost,51,12,5,0.0019,6.8558,8.0868,0.0038,-0.1874,-0.0847
